case_id,heterogeneity,average_response,persistence,policy,total_profit,total_d2c_quantity,total_retailer_quantity,runtime,response_R1,retailer_quantity_R1,average_exposure_R1,final_order_state_R1,response_R2,retailer_quantity_R2,average_exposure_R2,final_order_state_R2,response_R3,retailer_quantity_R3,average_exposure_R3,final_order_state_R3
H001,homogeneous,0.4000000000000001,0.6,myopic,7057.32,300.0,509.76,0.00612060003913939,0.4,181.04,0.5,0.8720000000000001,0.4,181.48000000000002,0.5,0.8720000000000001,0.4,147.24,0.3333333333333333,0.9146666666666666
H001,homogeneous,0.4000000000000001,0.6,lookahead,7057.32,300.0,509.76,0.009655200061388314,0.4,195.04,0.5,0.8720000000000001,0.4,153.88,0.5,0.8720000000000001,0.4,160.84,0.3333333333333333,0.9146666666666666
H002,medium,0.39999999999999997,0.6,myopic,7061.88,300.0,510.0,0.005999899934977293,0.2,184.16,0.5,0.9359999999999999,0.4,181.48000000000002,0.5,0.8720000000000001,0.6,144.36,0.3333333333333333,0.8720000000000001
H002,medium,0.39999999999999997,0.6,lookahead,7061.88,300.0,510.0,0.009383999975398183,0.2,199.76,0.5,0.9359999999999999,0.4,151.88,0.5,0.8720000000000001,0.6,158.36,0.3333333333333333,0.8720000000000001
H003,high,0.39999999999999997,0.6,myopic,7063.4400000000005,300.0,510.0,0.006147700012661517,0.1,185.72,0.5,0.968,0.4,181.48000000000002,0.5,0.8720000000000001,0.7,142.8,0.3333333333333333,0.8506666666666667
H003,high,0.39999999999999997,0.6,lookahead,7063.4400000000005,300.0,510.0,0.00906740000937134,0.1,202.12,0.5,0.968,0.4,150.88,0.5,0.8720000000000001,0.7,157.0,0.3333333333333333,0.8506666666666667
