case_id,margin_level,response,persistence,policy,period,period_profit,total_d2c_quantity,total_retailer_quantity,average_exposure,average_order_state,capacity_used,listed_A,listed_B,listed_C,listed_D,d2c_quantity_A,d2c_quantity_B,d2c_quantity_C,d2c_quantity_D,retailer_quantity_R1_A,retailer_quantity_R1_C,retailer_quantity_R2_A,retailer_quantity_R2_D,retailer_quantity_R3_B,retailer_quantity_R3_C,retailer_quantity_R3_D,exposure_R1,exposure_R2,exposure_R3,order_state_R1,order_state_R2,order_state_R3
C003,0.5,0.2,0.9,lookahead,3,2054.43,100.0,170.0,0.4444444444444444,0.983111111111111,270.0,1,1,0,0,50.0,50.0,0.0,0.0,30.665,29.43,34.335,29.43,25.0,6.329999999999998,14.809999999999995,0.5,0.5,0.3333333333333333,0.981,0.981,0.9873333333333333
C004,0.5,0.4,0.4,myopic,1,2055.0,100.0,170.0,0.4444444444444444,1.0,270.0,1,1,0,0,50.0,50.0,0.0,0.0,30.0,30.0,35.0,30.0,25.0,5.0,15.0,0.5,0.5,0.3333333333333333,1.0,1.0,1.0
C004,0.5,0.4,0.4,myopic,2,2051.4,100.0,170.0,0.4444444444444444,0.8933333333333334,270.0,1,1,0,0,50.0,50.0,0.0,0.0,34.2,26.4,30.8,26.4,25.0,13.4,13.8,0.5,0.5,0.3333333333333333,0.88,0.88,0.92
C004,0.5,0.4,0.4,myopic,3,2008.52,100.0,163.96,0.4444444444444444,0.8506666666666668,263.96000000000004,1,1,0,0,50.0,50.0,0.0,0.0,33.28,24.96,29.12,24.96,25.0,13.320000000000002,13.320000000000002,0.5,0.5,0.3333333333333333,0.8320000000000001,0.8320000000000001,0.8880000000000001
C004,0.5,0.4,0.4,lookahead,1,2055.0,100.0,170.0,0.4444444444444444,1.0,270.0,1,1,0,0,50.0,50.0,0.0,0.0,40.0,30.0,25.0,20.0,25.0,15.0,15.0,0.5,0.5,0.3333333333333333,1.0,1.0,1.0
C004,0.5,0.4,0.4,lookahead,2,2050.4,99.0,171.0,0.4411111111111112,0.8933333333333334,270.0,1,1,0,0,49.0,50.0,0.0,0.0,35.2,26.4,30.8,26.0,25.0,13.8,13.8,0.4950000000000001,0.4950000000000001,0.3333333333333333,0.88,0.88,0.92
C004,0.5,0.4,0.4,lookahead,3,2009.708,100.0,164.12199999999999,0.4444444444444444,0.8514666666666667,264.122,1,1,0,0,50.0,50.0,0.0,0.0,33.327999999999996,24.996,29.162,24.996,25.0,13.320000000000002,13.320000000000004,0.5,0.5,0.3333333333333333,0.8331999999999999,0.8331999999999999,0.8880000000000001
C005,0.5,0.4,0.7,myopic,1,2055.0,100.0,170.0,0.4444444444444444,1.0,270.0,1,1,0,0,50.0,50.0,0.0,0.0,30.0,30.0,35.0,30.0,25.0,5.0,15.0,0.5,0.5,0.3333333333333333,1.0,1.0,1.0
C005,0.5,0.4,0.7,myopic,2,2053.2000000000003,100.0,170.00000000000006,0.4444444444444444,0.9466666666666667,270.00000000000006,1,1,0,0,50.0,50.0,0.0,0.0,32.1,28.2,32.9,28.2,25.0,9.200000000000056,14.4,0.5,0.5,0.3333333333333333,0.94,0.94,0.96
C005,0.5,0.4,0.7,myopic,3,2051.94,100.0,170.0,0.4444444444444444,0.9093333333333332,270.0,1,1,0,0,50.0,50.0,0.0,0.0,33.57000000000001,26.939999999999998,31.429999999999996,26.939999999999998,25.0,12.140000000000015,13.979999999999997,0.5,0.5,0.3333333333333333,0.8979999999999999,0.8979999999999999,0.9319999999999999
C005,0.5,0.4,0.7,lookahead,1,2055.0,100.0,170.0,0.4444444444444444,1.0,270.0,1,1,0,0,50.0,50.0,0.0,0.0,40.0,30.0,25.0,20.0,25.0,15.0,15.0,0.5,0.5,0.3333333333333333,1.0,1.0,1.0
C005,0.5,0.4,0.7,lookahead,2,2053.2,100.0,170.0,0.4444444444444444,0.9466666666666667,270.0,1,1,0,0,50.0,50.0,0.0,0.0,37.6,28.2,27.4,23.0,25.0,14.4,14.4,0.5,0.5,0.3333333333333333,0.94,0.94,0.96
C005,0.5,0.4,0.7,lookahead,3,2051.94,100.0,170.0,0.4444444444444444,0.9093333333333332,270.0,1,1,0,0,50.0,50.0,0.0,0.0,33.57000000000001,26.939999999999998,31.429999999999996,26.939999999999998,25.0,12.140000000000015,13.979999999999997,0.5,0.5,0.3333333333333333,0.8979999999999999,0.8979999999999999,0.9319999999999999
C006,0.5,0.4,0.9,myopic,1,2055.0,100.0,170.0,0.4444444444444444,1.0,270.0,1,1,0,0,50.0,50.0,0.0,0.0,30.0,30.0,35.0,30.0,25.0,5.0,15.0,0.5,0.5,0.3333333333333333,1.0,1.0,1.0
C006,0.5,0.4,0.9,myopic,2,2054.3999999999996,100.0,170.0,0.4444444444444444,0.9822222222222222,270.0,1,1,0,0,50.0,50.0,0.0,0.0,30.7,29.4,34.3,29.4,25.0,6.4,14.8,0.5,0.5,0.3333333333333333,0.98,0.98,0.9866666666666667
C006,0.5,0.4,0.9,myopic,3,2053.8599999999997,100.0,170.0,0.4444444444444444,0.9662222222222222,270.0,1,1,0,0,50.0,50.0,0.0,0.0,31.33,28.86,33.67,28.86,25.0,7.659999999999982,14.620000000000005,0.5,0.5,0.3333333333333333,0.962,0.962,0.9746666666666667
C006,0.5,0.4,0.9,lookahead,1,2055.0,100.0,170.0,0.4444444444444444,1.0,270.0,1,1,0,0,50.0,50.0,0.0,0.0,40.0,30.0,25.0,20.0,25.0,15.0,15.0,0.5,0.5,0.3333333333333333,1.0,1.0,1.0
C006,0.5,0.4,0.9,lookahead,2,2054.4,100.0,170.0,0.4444444444444444,0.9822222222222222,270.0,1,1,0,0,50.0,50.0,0.0,0.0,39.2,29.4,25.8,21.0,25.0,14.8,14.8,0.5,0.5,0.3333333333333333,0.98,0.98,0.9866666666666667
C006,0.5,0.4,0.9,lookahead,3,2053.8599999999997,100.0,170.0,0.4444444444444444,0.9662222222222222,270.0,1,1,0,0,50.0,50.0,0.0,0.0,31.33,28.86,33.67,28.86,25.0,7.659999999999982,14.620000000000005,0.5,0.5,0.3333333333333333,0.962,0.962,0.9746666666666667
C007,0.5,0.6,0.4,myopic,1,2055.0,100.0,170.0,0.4444444444444444,1.0,270.0,1,1,0,0,50.0,50.0,0.0,0.0,30.0,30.0,35.0,30.0,25.0,5.0,15.0,0.5,0.5,0.3333333333333333,1.0,1.0,1.0
